freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250001,Ms. Nicole Kidd,FEMALE,52,Italy,Italian,Blockchain Development,11,100,2.6,FALSE,0.79
FL250002,Vanessa Garcia,FEMALE,52,Australia,English,Mobile Apps,34,100,3.3,TRUE,0.84
FL250003,Juan Nelson,MALE,53,Germany,German,Graphic Design,31,50,0,FALSE,0.71
FL250004,Amanda Spencer,FEMALE,38,Australia,English,Web Development,4,40,1.5,FALSE,0.9
FL250005,Lynn Curtis DDS,FEMALE,53,Germany,German,Web Development,27,30,4.8,FALSE,0.83
FL250006,Lisa Johnson,FEMALE,59,Netherlands,Dutch,AI,14,30,2.4,FALSE,0.79
FL250007,Eric Myers,MALE,52,Indonesia,Indonesian,Data Analysis,10,75,3.1,FALSE,0.94
FL250008,Ricky Graham,MALE,43,Italy,Italian,Blockchain Development,14,40,4.6,FALSE,0.94
FL250009,Sean Martin,MALE,26,United States,English,Blockchain Development,4,40,4,TRUE,0.76
FL250010,Matthew Lloyd,MALE,52,Turkey,Turkish,AI,22,50,2.6,TRUE,0.79
FL250011,Gavin Randall,MALE,40,United Kingdom,English,Data Analysis,17,40,3.6,TRUE,0.77
FL250012,Michelle Curtis,FEMALE,55,Argentina,Spanish,UI/UX Design,15,40,2.6,TRUE,0.86
FL250013,Alice Schneider,FEMALE,57,United Kingdom,English,Cybersecurity,18,40,2,FALSE,0.86
FL250014,Phillip Shelton,MALE,38,Argentina,Spanish,Graphic Design,20,75,2.9,TRUE,0.93
FL250015,Edward Ferguson,MALE,50,Germany,German,Data Analysis,22,75,3.7,TRUE,0.7
FL250016,Wyatt Stout,MALE,42,Japan,Japanese,Data Analysis,0,30,1.2,FALSE,0.69
FL250017,Laura Johnson,FEMALE,39,Australia,English,DevOps,13,30,2.5,FALSE,0.6
FL250018,Scott Burns,MALE,56,India,Hindi,Blockchain Development,9,40,2.6,FALSE,0.87
FL250019,Tyler Aguirre,MALE,56,United States,English,UI/UX Design,31,50,1.1,FALSE,0.75
FL250020,Matthew Lawson,MALE,57,Italy,Italian,Web Development,3,100,1.8,TRUE,0.68
FL250021,James Cherry,MALE,41,Indonesia,Indonesian,AI,9,50,1.8,FALSE,0.65
FL250022,Samuel Sanford,MALE,51,Japan,Japanese,DevOps,9,40,2.4,FALSE,0.69
FL250023,Cesar Greene,MALE,51,Brazil,Portuguese,Cybersecurity,21,30,4.7,FALSE,0.79
FL250024,Melanie Carter,FEMALE,51,South Korea,Korean,Machine Learning,15,50,1.3,TRUE,1
FL250025,Jennifer Martin,FEMALE,54,Indonesia,Indonesian,Machine Learning,13,75,2.9,FALSE,0.92
