freelancer_ID,name,gender,age,country,language,primary_skill,years_of_experience,hourly_rate (USD),rating,is_active,client_satisfaction
FL250001,Ms. Nicole Kidd,FEMALE,52.0,Italy,Italian,Blockchain Development,11.0,100.0,2.6,False,0.79
FL250002,Vanessa Garcia,FEMALE,52.0,Australia,English,Mobile Apps,34.0,100.0,3.3,True,0.84
FL250003,Juan Nelson,MALE,53.0,Germany,German,Graphic Design,31.0,50.0,0.0,False,0.71
FL250004,Amanda Spencer,FEMALE,38.0,Australia,English,Web Development,4.0,40.0,1.5,False,0.9
FL250005,Lynn Curtis DDS,FEMALE,53.0,Germany,German,Web Development,27.0,30.0,4.8,False,0.83
FL250006,Lisa Johnson,FEMALE,59.0,Netherlands,Dutch,AI,14.0,30.0,2.4,False,0.79
FL250007,Eric Myers,MALE,52.0,Indonesia,Indonesian,Data Analysis,10.0,75.0,3.1,False,0.94
FL250008,Ricky Graham,MALE,43.0,Italy,Italian,Blockchain Development,14.0,40.0,4.6,False,0.94
FL250009,Sean Martin,MALE,26.0,United States,English,Blockchain Development,4.0,40.0,4.0,True,0.76
FL250010,Matthew Lloyd,MALE,52.0,Turkey,Turkish,AI,22.0,50.0,2.6,True,0.79
FL250011,Gavin Randall,MALE,40.0,United Kingdom,English,Data Analysis,17.0,40.0,3.6,True,0.77
FL250012,Michelle Curtis,FEMALE,55.0,Argentina,Spanish,UI/UX Design,15.0,40.0,2.6,True,0.86
FL250013,Alice Schneider,FEMALE,57.0,United Kingdom,English,Cybersecurity,18.0,40.0,2.0,False,0.86
FL250014,Phillip Shelton,MALE,38.0,Argentina,Spanish,Graphic Design,20.0,75.0,2.9,True,0.93
FL250015,Edward Ferguson,MALE,50.0,Germany,German,Data Analysis,22.0,75.0,3.7,True,0.7
FL250016,Wyatt Stout,MALE,42.0,Japan,Japanese,Data Analysis,0.0,30.0,1.2,False,0.69
FL250017,Laura Johnson,FEMALE,39.0,Australia,English,DevOps,13.0,30.0,2.5,False,0.6
FL250018,Scott Burns,MALE,56.0,India,Hindi,Blockchain Development,9.0,40.0,2.6,False,0.87
FL250019,Tyler Aguirre,MALE,56.0,United States,English,UI/UX Design,31.0,50.0,1.1,False,0.75
FL250020,Matthew Lawson,MALE,57.0,Italy,Italian,Web Development,3.0,100.0,1.8,True,0.68
FL250021,James Cherry,MALE,41.0,Indonesia,Indonesian,AI,9.0,50.0,1.8,False,0.65
FL250022,Samuel Sanford,MALE,51.0,Japan,Japanese,DevOps,9.0,40.0,2.4,False,0.69
FL250023,Cesar Greene,MALE,51.0,Brazil,Portuguese,Cybersecurity,21.0,30.0,4.7,False,0.79
FL250024,Melanie Carter,FEMALE,51.0,South Korea,Korean,Machine Learning,15.0,50.0,1.3,True,1.0
FL250025,Jennifer Martin,FEMALE,54.0,Indonesia,Indonesian,Machine Learning,13.0,75.0,2.9,False,0.92
FL250026,Anna Mccann,FEMALE,22.0,South Korea,Korean,DevOps,0.0,30.0,1.2,True,0.7
FL250027,Marissa Bass,FEMALE,34.0,Japan,Japanese,Blockchain Development,8.0,20.0,0.0,True,0.89
FL250028,Alexis Day,FEMALE,36.0,Russia,Russian,Graphic Design,11.0,40.0,1.8,True,0.86
